"湯","ゆ","n","hot water","hot bath, hot spring, molten iron",
"漫画","まんが","n","comic","cartoon",
"火事","かじ","n","fire","conflagration",
"為, 爲, 為め","ため","n","good","advantage, benefit, welfare, sake, purpose, objective, aim, consequence, result, effect, affecting, regarding, concerning",
"熱","ねつ","n","heat","fever, temperature, zeal, passion, enthusiasm, mania, craze, rage",
"特急","とっきゅう","n","limited express (train"," faster than an express),great hurry",
"玩具","おもちゃ, がんぐ","n","toy",,
"理由","りゆう","n","reason","pretext, motive",
"用事","ようじ","n","tasks","things to do, errand, business (to take care of), affairs, engagement",
"番組","ばんぐみ","n","program (e.g. TV)","programme",
"畳, 疊","たたみ","n","tatami mat","Japanese straw floor coverings",
"看護婦","かんごふ","n","(female) nurse",,
"真ん中, 真中, まん中","まんなか, まなか","n","middle","centre, center, mid-way",
"着物","きもの","n","kimono (or other trad. Japanese clothing)","(Japanese) clothing, clothes ",
"石","いし","n","stone","gem, jewel",
"砂","すな","n","sand","grit, gold dust, silver dust",
"研究室","けんきゅうしつ","n","laboratory","study room, seminar room, professor's office",
"社会","しゃかい","n","society","public",
"社長","しゃちょう","n","company president","manager, director",
"神社","じんじゃ","n","Shinto shrine",,
"科学","かがく","n","science",,
"積もり, 積り","つもり","n","intention","plan, conviction, belief",
"空気","くうき","n","air","atmosphere",
"空港","くうこう","n","airport",,
"答え, 答","こたえ","n","response","reply, answer, solution",
"米","こめ","n","(husked grains of) rice","88 years old",
"終わり, 終り, 終","おわり","n","the end",,
"絹","きぬ","n","silk",,
"美術展","びじゅつてん","n","art exhibition",,
"美術館","びじゅつかん","n","art gallery","art museum",
"背中, 背なか","せなか","n","back (of body)",,
"腕","うで","n","arm","skill",
"興味","きょうみ","n","interest (in something)",,
"葉","は","n","leaf",,
"葡萄","ぶどう, えび","n","grape",,
"虫","むし","n","insect","bug, cricket, moth, worm",
"血","ち","n","blood","consanguinity",
"表","おもて","n","surface","face (i.e. the visible side of an object), front (of a building, etc.), obverse side (i.e. ""head"") of a coin, outside, exterior, appearance, public, first half (of an innings), top (of an inning), cover (for tatami mats, etc.), foreground",
"裏","うら","n","bottom (or another side that is hidden from view)","undersurface, opposite side, reverse side, rear, back, behind (the house), lining, inside, out of sight, behind the scenes, proof, opposite (of a prediction, common sense, etc.), inverse (of a hypothesis, etc.), bottom (of an inning), last half (of an inning)",
"規則","きそく","n","rules","regulations, conventions",
"親","おや","n","parent","parents, dealer (in cards), founder, (pet) owner",
"訳","わけ","n","conclusion from reasoning","judgement or calculation based on something read or heard, reason, cause, meaning, circumstances, situation",
"課長","かちょう","n","section manager","section chief",
"講堂","こうどう","n","auditorium",,
"贈り物, 贈物","おくりもの","n","present","gift",
"赤ちゃん","あかちゃん","n","baby","infant",
"赤ん坊","あかんぼう, あかんぼ","n","baby","infant",
"趣味","しゅみ","n","hobby","pastime, tastes, preference, liking",
"踊り","おどり","n","dance",,
"辞典","じてん","n","dictionary",,
"運転手","うんてんしゅ","n","driver","chauffeur",
"道具","どうぐ","n","tool","implement, means",
"部長","ぶちょう","n","head (chief,  director) of a section or department","head of a (school) club, head of a (school) team",
"都","と","n","metroplitan","municipal",
"金持ち, 金持, 銀持","かねもち","n","rich person",,
"鏡","かがみ","n","mirror",,
"雲","くも","n","cloud",,
"電報","でんぽう","n","telegram",,
"電灯","でんとう","n","electric light",,
"飛行場","ひこうじょう","n","airfield","airport",
"食料品","しょくりょうひん","n","foodstuff","groceries",
"首","くび","n","neck",,
"駐車場","ちゅうしゃじょう","n","parking lot","parking place",
"高校","こうこう","n","(senior) high school (shorter)",,
"高校生","こうこうせい","n","(senior) high school student",,
"高等学校","こうとうがっこう","n","(senior) high school (longer)",,
"髪","かみ","n","hair (on the head)",,
"髭","ひげ","n","moustache"," beard, whiskers",
"～ちゃん","～ちゃん","n","suffix for familiar (female) person",,
"～まま","～まま","n","as it is",,
"アクセサリー","アクセサリー","n","accessory",,
"アナウンサー","アナウンサー","n","announcer",,
"アフリカ","アフリカ","n","Africa",,
"アメリカ","アメリカ","n","America",,
"アルコール","アルコール","n","alcohol",,
"アルバイト","アルバイト","n","part-time job",,
"うん","うん","n","yes (informal)","alright",
"エスカレーター","エスカレーター","n","escalator",,
"オートバイ","オートバイ","n","motorcycle (lit: auto-bi(ke))",,
"ガス","ガス","n","gas",,
"ガソリン","ガソリン","n","gasoline","petrol",
"ガソリンスタンド","ガソリンスタンド","n","gasoline stand","gas station,petrol station",
